Graph #1

Temperature effect on Nitrogen

Temperature, Scenario #1, Scenario #2, Scenario #3
10.0, 89.6962580779, 79.4366261659, 85.6513784187
12.5, 97.1029773342, 83.7266476237, 91.974088195
15.0, 106.694206496, 89.2226694898, 100.083056741
17.5, 118.944741504, 96.2452147928, 110.318465059
20.0, 134.256249801, 105.154976597, 122.95270151
22.5, 152.826889697, 116.316750236, 138.109288592
25.0, 174.504719897, 130.035290857, 155.68085266
27.5, 198.67974826, 146.467004978, 175.275534794
30.0, 224.283421458, 165.526470444, 196.223530162
32.5, 249.938434276, 186.820269606, 217.659769044
35.0, 274.231964851, 209.642301795, 238.66681221
37.5, 296.010723857, 233.048684873, 258.431480416
40.0, 314.577679761, 256.000815485, 276.361848324
42.5, 329.728637372, 277.535998331, 292.133535509
45.0, 341.65381099, 296.912646266, 305.668440423
47.5, 350.779853751, 313.689451852, 317.07252689
50.0, 357.622221765, 327.727637048, 326.563065936
52.5, 362.682962032, 339.134324267, 334.406113264
55.0, 366.397144229, 348.17879983, 340.87256984
57.5, 369.115304179, 355.210328678, 346.21239645
60.0, 371.106691335, 360.594211657, 350.642624644

===========================

Graph #2

Temperature effect on Potasium

Temperature, Scenario #1, Scenario #2, Scenario #3
10.0, 25.5302243931, 20.9123223006, 24.3273938558
12.5, 27.6918267747, 22.5529463431, 26.2968359462
15.0, 30.1712458368, 24.4205513784, 28.5266097526
17.5, 33.0162847824, 26.5424628468, 31.0449148756
20.0, 36.2743464729, 28.9485530825, 33.8764281402
22.5, 39.9864426452, 31.6706361309, 37.0377843218
25.0, 44.179245387, 34.7407546889, 40.5324322674
27.5, 48.855925462, 38.1879211225, 44.3458878328
30.0, 53.9872536061, 42.0331778881, 48.442637968
32.5, 59.5051951692, 46.2833808947, 52.7658416243
35.0, 65.3016262481, 50.9247318346, 57.2404627191
37.5, 71.2342926903, 55.9175599996, 61.7796360974
40.0, 77.1403901429, 61.1939629629, 66.2931602504
42.5, 82.8555490673, 66.6595358095, 70.6963864311
45.0, 88.2337585225, 72.1995741899, 74.9177100338
47.5, 93.1631878631, 77.6890284362, 78.9033870354
50.0, 97.5744069666, 83.0044663335, 82.6192407924
52.5, 101.440303837, 88.0357483347, 86.0496255975
55.0, 104.769552393, 92.6952481133, 89.1945045305
57.5, 107.596728419, 96.9231970086, 92.0656140922
60.0, 109.972006868, 100.688780541, 94.6825254996

===========================

Graph #3

Temperature effect on Calcium

Temperature, Scenario #1, Scenario #2, Scenario #3
10.0, 84.6579128987, 59.421725311, 42.6417119871
12.5, 86.9487597911, 63.8117465277, 41.4086812162
15.0, 89.3160755616, 69.9718556178, 39.6865325656
17.5, 91.7067486856, 78.1767170131, 37.3576860403
20.0, 94.0529454577, 88.569184384, 34.3483458143
22.5, 96.2926249866, 101.084107933, 30.6552392786
25.0, 98.3919507978, 115.393516749, 26.3560143664
27.5, 100.36098546, 130.909566768, 21.5988514005
30.0, 102.257396092, 146.867166046, 16.5758237107
32.5, 104.178400815, 162.467940174, 11.4903236603
35.0, 106.245185556, 177.029224558, 6.52884959746
37.5, 108.58488924, 190.080258318, 1.84314935743
40.0, 111.31387627, 201.383038117, -2.45642669503
42.5, 114.524133531, 210.894676645, -6.29893371968
45.0, 118.273366883, 218.704658686, -9.64586509479
47.5, 122.578917821, 224.97425491, -12.4823613174
50.0, 127.415630969, 229.891165908, -14.8086356061
52.5, 132.717845518, 233.641319569, -16.6326177578
55.0, 138.385476833, 236.39443483, -17.9641049363
57.5, 144.293643266, 238.298805017, -18.8103188185
60.0, 150.304635168, 239.481455294, -19.172609768

===========================

Graph #4

Temperature effect on Suitability

Temperature, Scenario #1, Scenario #2, Scenario #3
0, -1, -1, -1
10.0, 0, 0, 0
12.5, 0, 0, 0
15.0, 1, 0, 1
17.5, 1, 0, 1
20.0, 1, 1, 1
22.5, 1, 1, 1
25.0, 1, 1, 1
27.5, 1, 1, 1
30.0, 1, 1, 1
32.5, 1, 1, 1
35.0, 1, 1, 1
37.5, 1, 1, 1
40.0, 1, 1, 1
42.5, 1, 1, 1
45.0, 1, 1, 1
47.5, 1, 1, 1
50.0, 1, 1, 1
52.5, 1, 1, 1
55.0, 1, 1, 1
57.5, 1, 1, 1
60.0, 1, 1, 1
0, 3, 3, 3

===========================

Graph #5

Relative Humidity effect on Nitrogen

Relative Humidity, Scenario #1, Scenario #2, Scenario #3
5.0, 259.698824476, 123.980716137, 297.095580689
5.25, 261.775522811, 122.95972655, 298.540318544
5.5, 263.813327817, 121.643048064, 300.0084013
5.75, 265.786654289, 120.060005078, 301.494837044
6.0, 267.663854141, 118.261439429, 302.993518955
6.25, 269.406403034, 116.316750236, 304.497136969
6.5, 270.96824745, 114.308557189, 305.997083391
6.75, 272.295524769, 112.325931231, 307.483345048
7.0, 273.326986966, 110.457032307, 308.944372143
7.25, 273.99560396, 108.781822872, 310.366912203
7.5, 274.231964851, 107.36564117, 311.735797254
7.75, 273.970155065, 106.254655835, 313.033675167
8.0, 273.156615675, 105.474091407, 314.240683748
8.25, 271.761878417, 105.029430387, 315.334081503
8.5, 269.793850138, 104.909933858, 316.287875403
8.75, 267.309617263, 105.093304339, 317.07252689
9.0, 264.421266551, 105.550340377, 317.654874705
9.25, 261.291253808, 106.248823876, 317.998483195
9.5, 258.115459559, 107.156342153, 318.064691389
9.75, 255.096777633, 108.242084233, 317.814664331
